appallottololecchiare,v. tr.,"""appallottolare""",live su Twitch dell’ 11/12
calnzone,"f., inv.",La canzone dei Calzoni,"mese di Dicembre 2020, puntata 122"
Car-bonara,n . p. f.,show TV automobilistico,puntata 127
ciackballack,n.,Oggetto usato dai registi di alto livello per iniziare le registrazioni,
embrace (o embracciare),v.,Accettare l'idea,
furbuffo,agg.,"Nato dalla combinazione di ""furbo"" e ""buffo"". Il significato è a discrezione di chi usa la parola",vlog in il Giappone
Media consuming,v.,guardare/leggere le cose,puntata 5
quolificato,"agg., storp.","""qualificato""",live del 12/8
sbundle,m.,Non bundle,puntata 121
sottofice,f.,"""sottosuolo""",puntata 3
tema nazionale delle nazioni,loc. s.le m.,"""inno""",puntata 121
Se mi razziatomicipazzi ti cancello,n. p.,The Wandering Earth,puntata 122
workshoppare,v.,"""creare"" [dall’ingl. workshop]",puntata 123
